"ORIGEN","DESTINO","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Tremor De Arriba","Bembibre","VACL-092","Autocares Castilla y León, S.A.U.","Regular",NA
"Castrillo De Don Juan","Baltanás","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Guaza De Campos","Villarramiel","VACL-104","Hijos de Cristóbal Pobes, S.L.","Regular",NA
"Mazuecos De Valdeginate","Palencia","VACL-104","Hijos de Cristóbal Pobes, S.L.","Regular",NA
"Cipérez","Aldehuela De La Bóveda","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"El Maillo","Tamames","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"El Tornadizo","Linares De Riofrío","AECL-073","Viamar Autocares, S.L.U.","Regular","Martes"
"La Tala","Armenteros","AECL-068","Cespedosa Bus, S.L.","Regular",NA
"Revalvos","Armenteros","AECL-068","Cespedosa Bus, S.L.","Regular",NA
"Valdelosa","Cruce Ctra. N","VACL-014","Zamora - Salamanca, S.A.","Regular",NA
"Valdelosa","630","VACL-014","Zamora - Salamanca, S.A.","Regular",NA
"Cruce Ctra. N","630","VACL-014","Zamora - Salamanca, S.A.","Regular",NA
"Valero","Linares De Riofrío","AECL-073","Viamar Autocares, S.L.U.","Regular","Lunes"
"Valero","Linares De Riofrío","AECL-073","Viamar Autocares, S.L.U.","Regular","Viernes"
"Vecinos","Matilla De Los Caños Del Río","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Fuente Olmedo","Alcazarén","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Hornillos De Eresma","Alcazarén","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Valleluengo","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Ponferrada","Salamanca",NA,"Autocares CYL/hermanos Vivas/Zamora Salamnca","Regular",NA
"León","Salamanca",NA,"Hermanos Vivas/Zamora Salamnca","Regular",NA
"Maderuelo","Aranda De Duero","AECL-009","Autocares Víctor Bayo, S.L.","Regular",NA
"Oña","Miranda De Ebro","AECL-011","Autobuses Barredo, S.L.","Regular",NA
"Borcos","Villadiego","AECL-016","Negrete Bus, S.L.","Regular",NA
"Jaramillo Quemado","Salas De Los Infantes","AECL-018","Antonio Crespo Cabrito, S.L.","Regular",NA
"Alcubilla De Avellaneda","Peñaranda De Duero","AECL-019","Autocares Patri, S.A.","Regular",NA
"Arauzo De Torre","Salas De Los Infantes","AECL-020","Antonio Crespo Cabrito, S.L.","Regular",NA
"Neila","Salas De Los Infantes","AECL-020","Antonio Crespo Cabrito, S.L.","Regular","Por Tolbaños"
"Cabezón De La Sierra","Salas De Los Infantes","AECL-021","Antonio Crespo Cabrito, S.L.","Regular",NA
"Castillejo De Robledo","Aranda De Duero","AECL-022","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Castroceniza","Covarrubias","AECL-024","Arlanza Bus, S.L.","Regular",NA
"Manzaneda De Torío","León","AECL-035","Empresa Reyero, S.L.","Regular",NA
"Robledo De Las Traviesas","Noceda","AECL-038","Autos Pelines, S.A.","Regular",NA
"Santa Cecilia Del Alcor","Palencia","AECL-048","Autocares Calvo e Hijos, S.L.","Regular",NA
"Hornillos De Cerrato","Torquemada","AECL-050","Linecar, S.A.","Regular",NA
"Osornillo","Lantadilla","AECL-053","Joaquín Gómez e Hijos, S.A.","Regular",NA
"Montemayor Del Río","Béjar","AECL-075","Justo Pérez Gómez","Regular",NA
"Pedraja De San Esteban","San Esteban De Gormaz","AECL-087","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Soto De San Esteban","San Esteban De Gormaz","AECL-087","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Rejas De San Esteban","San Esteban De Gormaz","AECL-087","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Fuentecambrón","San Esteban De Gormaz","AECL-087","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"El Poyo","Alcañices","AECL-096","Herederos de A. Tamame, S.A.","Regular",NA
"Colmenar De Montemayor","Salamanca","AECL-118","Viagón Autocares, S.L.","Regular","Por Molinillo"
"Pinilla Trasmonte","Lerma","TR-003","Arlanza Bus, S.L.","Regular",NA
"Villafruela","Lerma","TR-004","Arlanza Bus, S.L.","Regular",NA
"La Sequera De Haza","Aranda De Duero","TR-014","Autocares Patri, S.A.","Regular",NA
"San Pedro De Olleros","Vega De Espinareda","TR-017","Adelina Fernández Alonso","Regular",NA
"Aldearrubia","Salamanca","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Hérmedes De Cerrato","Palencia","VACL-008","La Regional Vallisoletana, S.A.","Regular",NA
"Tariego De Cerrato","Palencia","VACL-008","La Regional Vallisoletana, S.A.","Regular",NA
"Corrales","Zamora","VACL-014","Zamora - Salamanca, S.A.","Regular",NA
"Villamor De Los Escuderos","El Cubo De Tierra Del Vino","VACL-014","Zamora - Salamanca, S.A.","Regular",NA
"Fresno De Sayago","El Cubo De Tierra Del Vino","VACL-014","Zamora - Salamanca, S.A.","Regular",NA
"Olmo De La Guareña","Salamanca","VACL-021","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Arabayona De Mogica","Salamanca","VACL-021","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Salamanca","Toro","VACL-021","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Burgos","Aranda De Duero","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Burgos","Aranda De Duero","VACL-027","Autocares Castilla y León, S.A.U.","Regular","Directo"
"Burgos","Roa","VACL-027","Autocares Castilla y León, S.A.U.","Regular","Por La Aguilera"
"Burgos","Roa De Duero","VACL-027","Autocares Castilla y León, S.A.U.","Regular","Por Cilleruelo"
"San Cebrián De Mazote","Valladolid","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Puerto De Béjar","Miranda De Ebro","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Béjar","Valladolid","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"León","Miranda De Ebro","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Dehesa De Pedrosín","Miranda De Ebro","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Salamanca","Burgos","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Límite De Las Provincias De Zamora Y León","Zamora","VACL-030","Hermanos Vivas Santander, S.A.","Regular",NA
"Granja De Moreruela","Benavente","VACL-030","Hermanos Vivas Santander, S.A.","Regular",NA
"Zamora","Benavente","VACL-030","Hermanos Vivas Santander, S.A.","Regular",NA
"Santa María Del Mercadillo","Aranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Regular",NA
"Aranda De Duero","Salas De Los Infantes","VACL-034","Autocares Castilla y León, S.A.U.","Regular","Por Peñaranda De Duero"
"Aranda De Duero","Salas De Los Infantes","VACL-034","Autocares Castilla y León, S.A.U.","Regular","Por Los Arauzos"
"Huerta Del Rey","Aranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Regular","Por Peñaranda De Duero"
"Huerta Del Rey","Aranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Regular","Por Arauzos"
"Aranda De Duero","Valdeande","VACL-034","Autocares Castilla y León, S.A.U.","Regular",NA
"León","Ágreda","VACL-038","Linecar, S.A.","Regular","Por Valladolid"
"Benavente","Valladolid","VACL-038","Linecar, S.A.","Regular",NA
"Benavente","Ávila","VACL-038","Linecar, S.A.","Regular",NA
"Valladolid","Ávila","VACL-038","Linecar, S.A.","Regular",NA
"Navas De Oro","León","VACL-038","Linecar, S.A.","Regular",NA
"Valderas","León","VACL-038","Linecar, S.A.","Regular","Por Mayorga"
"Valderas","León","VACL-038","Linecar, S.A.","Regular","Por Valencia De Don Juan"
"Villamarco","León","VACL-038","Linecar, S.A.","Regular",NA
"El Burgo Ranero","León","VACL-038","Linecar, S.A.","Regular",NA
"Zamora","Benavente","VACL-038","Linecar, S.A.","Regular","Por Villalpando"
"Villalpando","Zamora","VACL-038","Linecar, S.A.","Regular",NA
"Villalpando","Benavente","VACL-038","Linecar, S.A.","Regular",NA
"Villanueva Del Campo","Benavente","VACL-038","Linecar, S.A.","Regular","Por Castroverde"
"Valderas","Benavente","VACL-038","Linecar, S.A.","Regular",NA
"Benavente","Palencia","VACL-038","Linecar, S.A.","Regular",NA
"Palencia","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Báscones De Ojeda","Palencia","VACL-038","Linecar, S.A.","Regular","Por Melgar De Fernamental Y Marcilla"
"Aguilar De Campoo","Palencia","VACL-038","Linecar, S.A.","Regular",NA
"Arconada","Palencia","VACL-038","Linecar, S.A.","Regular",NA
"Báscones De Ojeda","Herrera De Pisuerga","VACL-038","Linecar, S.A.","Regular",NA
"Báscones De Ojeda","Herrera De Pisuerga","VACL-038","Linecar, S.A.","Regular","Por Sotillo"
"Mansilla De Las Mulas","León","VACL-038","Linecar, S.A.","Regular",NA
"Burgos","Soria","VACL-045","Automóviles La Serrana, S.L.","Regular","Por Navaleno"
"Burgos","Soria","VACL-045","Automóviles La Serrana, S.L.","Regular","Por Covaleda"
"Covaleda","Burgos","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Pinilla De La Valdería","La Bañeza","VACL-050","Blas Fernández, S.L.","Regular",NA
"Alija Del Infantado","La Bañeza","VACL-051","Blas Fernández, S.L.","Regular",NA
"Valladolid","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular","Por Los Pueblos"
"Valladolid","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular","Directo"
"Valladolid","Zamora","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Palencia","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Palencia","VACL-053","La Regional Vallisoletana, S.A.","Regular","Universitaria"
"Tiedra","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Villafranca","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Alaejos","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Torrecilla De La Orden","Nava Del Rey","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Torrecilla De La Orden","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Nava Del Rey","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","La Seca","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Nava Del Rey","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"La Seca","Nava Del Rey","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular","Por San Miguel Y Villamarciel"
"Medina Del Campo","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Medina Del Campo","Muriel","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Peñaranda De Bracamonte","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Fontiveros","Valladolid","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Fuentes De Nava","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Villarramiel","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Cubillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valoria La Buena","Valladolid","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"San Román","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Fresno El Viejo","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Valdestillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valladolid","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Valdestillas","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Ataquines","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Monsagro","Ciudad Rodrigo","VACL-054","J.J. Martín Gallego, S.L.","Regular",NA
"Torre De Don Miguel","Ciudad Rodrigo","VACL-055","J.J. Martín Gallego, S.L.","Regular",NA
"Rollán","Salamanca","VACL-056","Adojaju, S.L.","Regular",NA
"La Alberguería De Argañán","Ciudad Rodrigo","VACL-058","J.J. Martín Gallego, S.L.","Regular","Por Alamedilla"
"La Alberguería De Argañán","Ciudad Rodrigo","VACL-058","J.J. Martín Gallego, S.L.","Regular",NA
"Santiz","Salamanca","VACL-059","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Salamanca","Calzada De Valdunciel","VACL-059","Avanza Movilidad Integral, S. L. U.","Regular","Itinerario 1"
"León","Laguna De Negrillos","VACL-063","Hermanos Vivas Santander, S.A.","Regular",NA
"Alija Del Infantado","León","VACL-063","Hermanos Vivas Santander, S.A.","Regular",NA
"Peleagonzalo","Zamora","VACL-064","Herederos de A. Tamame, S.A.","Regular",NA
"Navasfrías","Ciudad Rodrigo","VACL-067","J.J. Martín Gallego, S.L.","Regular",NA
"Vega De Tirados","Salamanca","VACL-069","Transportes Vega de Tirados, S.L.","Regular",NA
"Florida De Liébana","Salamanca","VACL-069","Transportes Vega de Tirados, S.L.","Regular",NA
"Aldeadávila De La Ribera","Vitigudino","VACL-070","Viagón Autocares, S.L.","Regular",NA
"La Fuente De San Esteban","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Vitigudino","Villar De Peralonso","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"La Fregeneda","Salamanca","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Hinojosa De Duero","Salamanca","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Lumbrales","Salamanca","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Vitigudino","Salamanca","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Vilvestre","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"San Felices De Los Gállegos","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"La Alberca","Tenebrón","VACL-072","Viagón Autocares, S.L.","Regular","Enlace En Tenebrón Con Ruta Tamames - Ciudad Rodrigo"
"Colmenar De Montemayor","Béjar","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Ciudad Rodrigo","Béjar","VACL-072","Viagón Autocares, S.L.","Regular","Por La Alberca"
"Tamames","Ciudad Rodrigo","VACL-072","Viagón Autocares, S.L.","Regular",NA
"El Cabaco","Béjar","VACL-072","Viagón Autocares, S.L.","Regular","Por Sequeros"
"Cespedosa","Béjar","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Navamorales","Béjar","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Aldeavieja De Tormes","Guijuelo","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Piedrahita","Guijuelo","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Peromingo","Guijuelo","VACL-073","Viamar Autocares, S.L.U.","Regular","Por San Medel"
"Alba De Tormes","Salamanca","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"El Barco De Ávila","Salamanca","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular","Por Piedrahita"
"El Barco De Ávila","Salamanca","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular","Por El Tejado"
"Pedraza De Alba","Salamanca","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Santa Teresa","Salamanca","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Peñaranda De Bracamonte","Salamanca","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Cuatro Calzadas","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Osorno","Burgos","VACL-075","Guerrero Bus, S.L.","Regular",NA
"Melgar De Fernamental","Burgos","VACL-075","Guerrero Bus, S.L.","Regular",NA
"Villalbilla De Burgos","Burgos","VACL-075","Guerrero Bus, S.L.","Regular",NA
"Mogarraz","Salamanca","VACL-076","Adojaju, S.L.","Regular",NA
"Herguijuela De La Sierra","Salamanca","VACL-076","Adojaju, S.L.","Regular","Por San Martín
Del Castañar (Con Transbordo En
Caserío)"
"Escurial De La Sierra","Salamanca","VACL-076","Adojaju, S.L.","Regular",NA
"Medina Del Campo","Madrigal De Las Altas Torres","VACL-077","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Carpio Bernardo","Salamanca","VACL-078","Autocares Huerta, S.L.","Regular",NA
"Calvarrasa De Abajo","Salamanca","VACL-078","Autocares Huerta, S.L.","Regular",NA
"Cilloruelo","Salamanca","VACL-078","Autocares Huerta, S.L.","Regular",NA
"Alar Del Rey","Burgos","VACL-079","Autobuses Amaya, S.L.","Regular",NA
"Burgos","Villadiego","VACL-079","Autobuses Amaya, S.L.","Regular","Por Quintanilla"
"Burgos","Sasamón","VACL-079","Autobuses Amaya, S.L.","Regular",NA
"Frómista","Burgos","VACL-079","Autobuses Amaya, S.L.","Regular",NA
"Herrera De Pisuerga","Burgos","VACL-079","Autobuses Amaya, S.L.","Regular","Por Sotresgudo,
Sasamón, Villanueva De Argaño Y Las
Quintanillas"
"Burgos","Grijalba","VACL-079","Autobuses Amaya, S.L.","Regular",NA
"Villadiego","Burgos","VACL-079","Autobuses Amaya, S.L.","Regular","Por Tobar"
"Villavedón","Villadiego","VACL-079","Autobuses Amaya, S.L.","Regular",NA
"Tabuyo Del Monte","La Bañeza","VACL-089","Blas Fernández, S.L.","Regular",NA
"Fermoselle","Salamanca","VACL-090","Herederos de A. Tamame, S.A.","Regular","Por Pelilla"
"Fermoselle","Salamanca","VACL-090","Herederos de A. Tamame, S.A.","Regular","Por Viñuela"
"León","Riaño","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Riaño","Mansilla De Las Mulas","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"León","Sabero","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"León","Sabero","VACL-091","Autocares Castilla y León, S.A.U.","Regular","Por Modino"
"León","Renedo De Valderaduey","VACL-091","Autocares Castilla y León, S.A.U.","Regular","Por Bustillo De Cea"
"León","Prioro","VACL-091","Autocares Castilla y León, S.A.U.","Regular","Por Sahagún"
"León","Velilla Del Río Carrión","VACL-091","Autocares Castilla y León, S.A.U.","Regular","Por Gradefes"
"San Miguel De Escalada","León","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Quintana Del Monte","Quintana De Rueda","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Villalquite","Quintana De Rueda","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"San Bartolomé De Rueda","Gradefes","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Cañizal De Rueda","Gradefes","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Carbajal De Rueda","Gradefes","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Villarmún","Gradefes","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"León","C.p. Mansilla De Las Mulas","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"León","Mansilla De Las Mulas","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"La Baña","Astorga","VACL-094","Autocares Castilla y León, S.A.U.","Regular","Por Corporales"
"La Baña","Astorga","VACL-094","Autocares Castilla y León, S.A.U.","Regular","Por Iruela"
"Torneros De Jamuz","La Bañeza","VACL-094","Autocares Castilla y León, S.A.U.","Regular",NA
"Villamanín De La Tercia","Cármenes","VACL-095","Autocares Castilla y León, S.A.U.","Regular","Enlace Servicios Villamanín - León"
"Villamanín De La Tercia","Cubillas De Arbás","VACL-095","Autocares Castilla y León, S.A.U.","Regular","Enlace Servicios Villamanín - León"
"León","La Robla","VACL-095","Autocares Castilla y León, S.A.U.","Regular","Por Cascantes"
"León","La Robla","VACL-095","Autocares Castilla y León, S.A.U.","Regular","Por Venta De La Tuerta"
"León","Villamanín","VACL-095","Autocares Castilla y León, S.A.U.","Regular","Por Venta De La Tuerta"
"León","Ciñera","VACL-095","Autocares Castilla y León, S.A.U.","Regular",NA
"Valencia De Don Juan","León","VACL-096","Autocares Castilla y León, S.A.U.","Regular","Por Palanquinos"
"Valencia De Don Juan","León","VACL-096","Autocares Castilla y León, S.A.U.","Regular","Por Santas Martas"
"Astorga","Sanchidrián","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Palencia","Sanchidrián","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Ávila","León","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"La Virgen Del Camino","Sanchidrián","VACL-096","Autocares Castilla y León, S.A.U.","Regular","Aeropuerto"
"Oseja De Sajambre","Adanero","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Valladolid","Villamanín","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Velilla De Los Oteros","León","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Castrillo De Don Juan","Palencia","VACL-102","Autocares Tejedor H., S.L.","Regular",NA
"Palencia","Dueñas","VACL-102","Autocares Tejedor H., S.L.","Regular",NA
"Guardo","Palencia","VACL-107","Linecar, S.A.","Regular",NA
"Villamoronta","Palencia","VACL-107","Linecar, S.A.","Regular",NA
"Villota Del Duque","Palencia","VACL-107","Linecar, S.A.","Regular",NA
"Miranda De Ebro","Quincoces De Yuso","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Miranda De Ebro","Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Rivabellosa","Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Miranda De Ebro","Ircio","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Murias De Ponjos","León","VACL-112","Busletrans, S.L.U.","Regular",NA
"Adrados De Ordas","León","VACL-112","Busletrans, S.L.U.","Regular",NA
"Caboalles De Arriba","León","VACL-113","Autocares Castilla y León, S.A.U.","Regular","Por Murias"
"León","Villablino","VACL-113","Autocares Castilla y León, S.A.U.","Regular","Por Murias"
"Caboalles De Arriba","León","VACL-113","Autocares Castilla y León, S.A.U.","Regular","Por Autopista Y C- 623"
"Burgos","Palencia","VACL-116","Moreno Vicente y Cía, S.L.","Regular","Directo"
"Burgos","Palencia Con Todas Las Paradas","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Burgos","Palencia Semidirecto","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Quintana Del Puente","Palencia","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Palencia","Magaz De Pisuerga","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Vallegera","Villodrigo","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Palencia","León","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Palencia","Sahagún","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Cisneros","Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Paredes De Nava","Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Palencia","Cascón De La Nava","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Palencia","Grijota","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Villada","Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Valdevimbre","Valencia De Don Juan","VACL-118","Julián Javier Larrauri González","Regular",NA
"Gordoncillo","Valencia De Don Juan","VACL-118","Julián Javier Larrauri González","Regular",NA
"Aranda De Duero","Sepúlveda","VACL-125","Linecar, S.A.","Regular",NA
"Fuentecén","Aranda De Duero","VACL-125","Linecar, S.A.","Regular",NA
"El Olmo","Peñafiel","VACL-125","Linecar, S.A.","Regular",NA
"Cuéllar","Peñafiel","VACL-126","Linecar, S.A.","Regular",NA
"Aldea De San Miguel","Valladolid","VACL-126","Linecar, S.A.","Regular",NA
"Segovia","Cuéllar","VACL-126","Linecar, S.A.","Regular",NA
"Segovia","Valladolid","VACL-126","Linecar, S.A.","Regular",NA
"Cuéllar","Valladolid","VACL-126","Linecar, S.A.","Regular",NA
"Valladolid","Segovia","VACL-126","Linecar, S.A.","Regular","Por Pueblos"
"Manganeses De La Lampreana","Benavente","VACL-131","Santiago Castaño Fernández","Regular",NA
"Bretó","Granja De Moreruela","VACL-131","Santiago Castaño Fernández","Regular",NA
"Villanueva Del Campo","Zamora","VACL-131","Santiago Castaño Fernández","Regular",NA
"Benavente","Zamora","VACL-131","Santiago Castaño Fernández","Regular",NA
"Villafáfila","Zamora","VACL-131","Santiago Castaño Fernández","Regular",NA
"Campogrande De Aliste","Zamora","VACL-135","Autobuses Carbajo, S.L.","Regular",NA
"Molacillos","Zamora","VACL-136","Autocares Posadas, S.L.","Regular",NA
"Belver De Los Montes","Toro","VACL-136","Autocares Posadas, S.L.","Regular",NA
"Abezames","Zamora","VACL-136","Autocares Posadas, S.L.","Regular",NA
"Villaseco","Zamora","VACL-138","Aureliano Martín Vizán, S.L.","Regular",NA
"Quintanamanvirgo","Aranda De Duero","VACL-139","Autocares de las Heras, S.L.","Regular","Por Valcabado De Roa"
"Quintanamanvirgo","Aranda De Duero","VACL-139","Autocares de las Heras, S.L.","Regular","Por Guzmán Y Berlanga De Roa"
"Quintanamanvirgo","Aranda De Duero","VACL-139","Autocares de las Heras, S.L.","Regular","Por Guzmán Y La Horra"
"Anguix","Aranda De Duero","VACL-139","Autocares de las Heras, S.L.","Regular",NA
"Tórtoles De Esgueva","Aranda De Duero","VACL-139","Autocares de las Heras, S.L.","Regular","Por Anguix"
"Tórtoles De Esgueva","Aranda De Duero","VACL-139","Autocares de las Heras, S.L.","Regular","Sin Entrar En Anguix"
"Villalba De La Lampreana","Zamora","VACL-140","Castaño e Hijos, S.L.","Regular",NA
"Campillo","Zamora","VACL-140","Castaño e Hijos, S.L.","Regular",NA
"Moraleja Del Vino","Zamora","VACL-143","Herederos de A. Tamame, S.A.","Regular",NA
"Olmo De La Guareña","Zamora","VACL-143","Herederos de A. Tamame, S.A.","Regular",NA
"Fuentelapeña","Zamora","VACL-143","Herederos de A. Tamame, S.A.","Regular",NA
"La Bóveda De Toro","Zamora","VACL-143","Herederos de A. Tamame, S.A.","Regular",NA
"Ferreras De Abajo","Benavente","VACL-144","Empresa Vaquero, S.L.","Regular",NA
"Tábara","Benavente","VACL-144","Empresa Vaquero, S.L.","Regular",NA
"Friera De Valverde","Benavente","VACL-144","Empresa Vaquero, S.L.","Regular",NA
"Pueblica De Valverde","Zamora","VACL-144","Empresa Vaquero, S.L.","Regular",NA
"Peñausende","Zamora","VACL-145","Autocares Viñuela, S.L.","Regular",NA
"San Vicente","Espanillo","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"San Vicente","Quilós","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Espanillo","Quilós","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Arborbuena","San Clemente","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Arborbuena","Cacabelos","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
